Description,Quoted_Premium
EUR Swaption Premium 6M2Y,47.864
EUR Swaption Premium 6M3Y,76.126
EUR Swaption Premium 6M5Y,135.099
EUR Swaption Premium 6M7Y,193.883
EUR Swaption Premium 6M10Y,281.815
EUR Swaption Premium 6M15Y,406.788
EUR Swaption Premium 6M20Y,526.405
EUR Swaption Premium 6M30Y,762.345
EUR Swaption Premium 1Y5Y,206.46
EUR Swaption Premium 1Y2Y,75.295
EUR Swaption Premium 1Y15Y,602.302
EUR Swaption Premium 1Y20Y,771.86
EUR Swaption Premium 1Y25Y,929.656
EUR Swaption Premium 2Y2Y,119.609
EUR Swaption Premium 2Y4Y,243.745
EUR Swaption Premium 2Y6Y,365.094
EUR Swaption Premium 2Y10Y,601.175
EUR Swaption Premium 2Y20Y,1078.016
EUR Swaption Premium 2Y30Y,1485.668
EUR Swaption Premium 5Y2Y,203.508
EUR Swaption Premium 5Y5Y,493.6
EUR Swaption Premium 5Y10Y,934.127
EUR Swaption Premium 5Y20Y,1616.671
EUR Swaption Premium 5Y30Y,2198.582
EUR Swaption Premium 10Y2Y,262.805
EUR Swaption Premium 10Y5Y,614.171
EUR Swaption Premium 10Y10Y,1134.896
EUR Swaption Premium 10Y20Y,1917.635
EUR Swaption Premium 10Y30Y,2528.1389
